Date,Home_Team,Away_Team,Closing_Total,Num_Books,Actual_Total,Result_Date,Days_Diff,Deviation,Abs_Deviation
2023-12-31,Colorado Buffaloes,Washington St Cougars,142.2,12,141,2023-12-31,0,-1.1999999999999886,1.1999999999999886
2023-12-31,Youngstown St Penguins,Oakland Golden Grizzlies,150.2,12,169,2023-12-31,0,18.80000000000001,18.80000000000001
2023-12-31,Mississippi St Bulldogs,Bethune-Cookman Wildcats,140.6,9,147,2023-12-31,0,6.400000000000006,6.400000000000006
2023-12-31,Milwaukee Panthers,Wright St Raiders,165.8,12,174,2023-12-31,0,8.199999999999989,8.199999999999989
2023-12-31,Oklahoma Sooners,Monmouth Hawks,144.6,11,128,2023-12-31,0,-16.599999999999994,16.599999999999994
2023-12-31,South Dakota St Jackrabbits,North Dakota Fighting Hawks,146.6,12,141,2023-12-31,0,-5.599999999999994,5.599999999999994
2023-12-31,Oklahoma St Cowboys,South Carolina St Bulldogs,146.2,9,156,2023-12-31,0,9.800000000000011,9.800000000000011
2023-12-31,South Dakota Coyotes,Omaha Mavericks,155.2,12,118,2023-12-31,0,-37.19999999999999,37.19999999999999
2023-12-31,Lindenwood Lions,Southern Indiana Screaming Eagles,139.6,12,139,2023-12-31,0,-0.5999999999999943,0.5999999999999943
2023-12-31,Stanford Cardinal,Arizona Wildcats,161.6,12,182,2023-12-31,0,20.400000000000006,20.400000000000006
2023-12-31,SE Missouri St Redhawks,Morehead St Eagles,144.7,12,125,2023-12-31,0,-19.69999999999999,19.69999999999999
2023-12-31,NJIT Highlanders,Morgan St Bears,153.4,8,122,2023-12-31,0,-31.400000000000006,31.400000000000006
