Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
82,Seton Hall,BE,1-0,10.17,106.8,96.7,69.1
83,George Mason,A10,1-0,10.07,107.4,97.3,69.2
84,California,ACC,2-0,9.73,109.1,99.4,72.2
85,High Point,BSth,1-0,9.7,113.2,103.5,72.1
86,San Francisco,WCC,1-0,9.49,109.8,100.3,72.5
87,TCU,B12,1-1,9.34,108.3,99.0,73.0
88,Akron,MAC,1-0,9.25,111.2,101.9,73.8
89,Xavier,BE,2-0,9.13,108.8,99.7,73.3
90,Georgetown,BE,1-0,9.06,109.1,100.1,72.4
91,Florida St.,ACC,1-0,9.04,111.0,101.9,73.4
92,South Carolina,SEC,1-0,8.77,109.9,101.1,70.8
93,Boston College,ACC,1-1,8.57,107.9,99.3,70.6
94,Colorado,B12,1-0,8.24,109.2,101.0,71.8
95,Stanford,ACC,1-0,8.19,108.5,100.3,72.3
96,Georgia Tech,ACC,1-0,8.11,106.5,98.4,70.7
97,UAB,Amer,1-0,7.85,111.0,103.2,75.0
98,South Florida,Amer,1-0,7.75,108.5,100.8,74.5
99,New Mexico,MWC,1-0,7.64,105.3,97.7,72.8
