Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
182,Grambling St.,SWAC,24-9,-0.97,99.8,100.7,66.1
183,SMU,Amer,10-22,-1.01,103.1,104.1,69.5
184,Chattanooga,SC,18-17,-1.1,107.9,109.0,68.3
185,Florida Gulf Coast,ASun,17-15,-1.13,104.9,106.0,66.2
186,North Carolina Central,MEAC,18-12,-1.15,100.7,101.9,67.7
187,New Mexico St.,WAC,9-15,-1.16,105.6,106.7,69.1
188,Pepperdine,WCC,9-22,-1.2,105.0,106.2,72.1
189,Quinnipiac,MAAC,20-12,-1.29,104.0,105.3,69.5
190,Texas St.,SB,16-19,-1.32,104.6,105.9,63.5
191,Saint Joseph's,A10,16-17,-1.36,104.3,105.6,69.2
192,Pacific,WCC,15-18,-1.38,107.9,109.3,69.5
193,Abilene Christian,WAC,13-17,-1.47,105.7,107.1,69.0
194,Norfolk St.,MEAC,22-11,-1.53,107.1,108.7,65.1
195,Cleveland St.,Horz,21-14,-1.54,104.0,105.6,65.8
196,Weber St.,BSky,18-15,-1.58,100.1,101.7,65.1
197,Wright St.,Horz,18-15,-1.6,104.2,105.8,71.1
